id,texte,categorie,mots_cles_detectes,confidence
64,"PUBLICATION SCIENTIFIQUE\nTitre: 'Nouvelles molécules anticancéreuses'\nAuteurs: Dr. Paul Martin, Dr. Sophie Dubois\nJournal: Nature Medicine\nVolume: 28, Numéro 4\nDate: Mars 2026\nPages: 150-165\nRésumé: Découverte de composés inhibant la croissance tumorale...","ACADEMIQUE","publication scientifique,titre,auteurs,journal,volume,numéro,date,pages,résumé,découverte,composés,anticancéreux",0.97
65,"DÉCISION DE JUSTICE\nAffaire: TGI-2026-078\nParties:\n- Demandeur: Mme Claire Bernard\n- Défendeur: SARL Construction\nDécision: Condamne le défendeur à payer 15 000€\nDate: 23 février 2026\nMotivation: Non-respect des délais contractuels\nVoies de recours: Appel devant la cour d'appel dans un délai d'un mois","JURIDIQUE","décision justice,affaire,parties,demandeur,défendeur,décision,condamne,payer,date,motivation,non-respect,délais contractuels,voies de recours,appel,cour d'appel",0.93
66,"DIAGRAMME DE CLASSES\nSystème: Gestion RH\nClasses principales:\n- Employé\n  - attributs: nom, prénom, salaire\n  - méthodes: calculerSalaire()\n- Service\n  - attributs: nom, budget\n  - méthodes: ajouterEmployé()\nRelations:\n- Composition: Service contient Employés\n- Héritage: Cadre hérite d'Employé","DIAGRAMME","diagramme classes,système,gestion rh,classes principales,employé,attributs,méthodes,service,composition,héritage,cadre",0.95
67,"FACTURE N°2026-008\nDate: 24/02/2026\nClient: SARL Pâtisserie Délice\nSIRET: 01234567890123\nMontant HT: 1250,00€\nTVA 5,5%: 68,75€\nMontant TTC: 1318,75€\nNet à payer: 1318,75€\nIBAN: FR88XXXXXXXXXXXXXXX\nBIC: FFFFFFFF\nDate d'échéance: 10/03/2026","FACTURE","facture,date,client,siret,montant ht,tva 5.5%,montant ttc,net à payer,iban,bic,date d'échéance",0.96
68,"TICKET DE CAISSE\nMagasin: FNAC Montparnasse\nDate: 25/02/2026 14:45\nArticles:\n- Roman policier: 19,90€\n- DVD film: 15,50€\n- Casque audio: 49,90€\nTotal TTC: 85,30€\nMoyen de paiement: Carte bancaire\nMerci de votre achat !","RECU","ticket de caisse,magasin,date,roman,dvd,casque audio,total ttc,carte bancaire,merci",0.93
69,"CONTRAT DE PARTENARIAT\nEntre:\n- Partenaire A: Tech Solutions SA\n- Partenaire B: Marketing Pro SARL\nObjet: Développement application mobile\nPartage des revenus: 60%/40%\nDurée: 3 ans à compter du 01/03/2026\nConfidentialité: Clause stricte\nRésiliation: Préavis de 6 mois\nFait à Paris le 26 février 2026","CONTRAT","contrat partenariat,partenaire a,partenaire b,objet,développement,application mobile,partage revenus,durée,confidentialité,clause,résiliation,préavis,fait à",0.97
70,"BON DE COMMANDE N°BC-2026-052\nDate: 27/02/2026\nRéférence client: CLT-456\nAdresse de livraison:\n22 rue de la Paix, 75002 Paris\nMode d'expédition: Livraison standard\nArticles commandés:\n- 4x Chaises de jardin\n- 1x Table d'extérieur\n- 2x Parasols\nNombre de colis: 3","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles jardin,chaises,table,parasols,colis",0.91
71,"CERTIFICAT DE VÉHICULE\nDélivré par la Préfecture de Police\nDate: 28/02/2026\nNuméro d'immatriculation: AB-123-CD\nPropriétaire: M. Jean Dupont\nMarque: Renault\nModèle: Clio\nAnnée: 2025\nPuissance: 5 CV\nCachet officiel de la préfecture","ADMINISTRATIF","certificat véhicule,préfecture police,date,numéro immatriculation,propriétaire,marque,modèle,année,puissance,cachet officiel",0.94
72,"RAPPORT TECHNIQUE\nSystème: Serveurs cloud\nPériode: Février 2026\nDisponibilité: 99,98%\nIncidents: 2 (durée totale 15 minutes)\nPerformances:\n- Temps de réponse moyen: 120ms\n- Débit maximal: 1,2 Gbps\nRecommandations: Upgrade mémoire pour pics de charge","RAPPORT","rapport technique,système,serveurs cloud,période,disponibilité,incidents,performances,temps réponse,débit,recommandations,upgrade mémoire",0.95
73,"LETTRE DE RELANCE\nÀ l'attention de Madame la Comptabilité\nSociété: SARL Martin Services\nObjet: Facture impayée N°2026-001\nMadame,\nNous constatons que notre facture du 15 janvier 2026 d'un montant de 1800€ n'a pas encore été réglée.\nMerci de régulariser cette situation sous 8 jours.\nEn cas de non-paiement, nous serons contraints de prendre des mesures.\nCordialement,\nService comptabilité","CV_LETTRE","lettre relance,comptabilité,société,objet,facture impayée,montant,non réglée,régulariser,8 jours,mesures,cordialement",0.92
74,"THÈSE D'HABILITATION\nTitre: 'Théorie des nombres avancée'\nAuteur: Prof. Marc Dubois\nUniversité: Collège de France\nDate de soutenance: 10 février 2026\nJury:\n- Prof. Jean Martin (président)\n- Dr. Sophie Bernard (rapporteur)\n- Prof. Pierre Laurent (examinateur)\nRésumé: Contributions majeures à la théorie des nombres premiers...","ACADEMIQUE","thèse habilitation,titre,auteur,université,date soutenance,jury,président,rapporteur,examinateur,résumé,théorie nombres premiers",0.98
75,"ACTE DE DONATION\nEntre:\n- Donateur: Mme Élise Martin, veuve Dubois\n- Donataire: Association Caritative Enfants\nObjet: Donation d'un immeuble\nLocalisation: 8 rue des Enfants, 75018 Paris\nValeur: 350 000€\nDate: 01 mars 2026\nNotaire: Maître Antoine Bernard\nCachet et signatures","JURIDIQUE","acte donation,donateur,donataire,objet,donation,immeuble,localisation,valeur,date,notaire,cachet,signatures",0.96
76,"DIAGRAMME DE SEQUENCE\nScénario: Commande en ligne\nActeurs:\n- Client\n- Site web\n- Base de données\n- Service de paiement\nSéquence:\n1. Client sélectionne produit\n2. Site vérifie stock\n3. Client saisit coordonnées\n4. Paiement sécurisé\n5. Confirmation envoyée","DIAGRAMME","diagramme séquence,scénario,commande en ligne,acteurs,client,site web,base données,service paiement,séquence,sélection produit,vérification stock,coordonnées,paiement sécurisé,confirmation",0.94
77,"FACTURE N°2026-009\nDate: 02/03/2026\nClient: SARL Hôtel Prestige\nSIRET: 12345678901234\nMontant HT: 3200,00€\nTVA 10%: 320,00€\nMontant TTC: 3520,00€\nNet à payer: 3520,00€\nIBAN: FR89XXXXXXXXXXXXXXX\nBIC: GGGGGGGG\nDate d'échéance: 17/03/2026","FACTURE","facture,date,client,siret,montant ht,tva 10%,montant ttc,net à payer,iban,bic,date d'échéance",0.95
78,"TICKET DE CAISSE\nMagasin: Decathlon Sport\nDate: 03/03/2026 16:30\nArticles:\n- Chaussures running: 89,90€\n- Short sport: 24,90€\n- Bouteille eau: 8,50€\nTotal TTC: 123,30€\nMoyen de paiement: Carte bancaire\nMerci pour votre confiance !","RECU","ticket de caisse,magasin,date,chaussures,running,short sport,bouteille eau,total ttc,carte bancaire,merci",0.93
79,"CONTRAT DE CDD\nEntre les soussignés:\n- Employeur: SARL Tech Innovante\n- Employé: M. Lucas Bernard\nPoste: Développeur junior\nDurée: 6 mois (01/03/2026-31/08/2026)\nSalaire: 2200€ brut/mois\nPériode d'essai: 1 mois\nFait à Lyon le 28 février 2026","CONTRAT","contrat cdd,employeur,employé,poste,développeur junior,durée,salaire,période essai,fait à",0.97
80,"BON DE COMMANDE N°BC-2026-053\nDate: 04/03/2026\nRéférence client: CLT-567\nAdresse de livraison:\n30 avenue Victor Hugo, 75016 Paris\nMode d'expédition: Livraison express\nArticles commandés:\n- 1x Imprimante laser\n- 2x Cartouches toner\n- 1x Papier A4 500 feuilles\nNombre de colis: 1","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles bureau,imprimante laser,cartouches toner,papier a4,colis",0.92
81,"ATTESTATION DE DIPLOME\nDélivrée par l'Université Paris-Saclay\nDate: 05/03/2026\nNom: Bernard Antoine\nDiplôme: Master Informatique\nMention: Bien\nAnnée d'obtention: 2025\nNuméro de diplôme: UPS-2025-7890\nCachet et signature du président","ADMINISTRATIF","attestation diplôme,université,date,nom,diplôme,master informatique,mention,année obtention,numéro diplôme,cachet,signature,président",0.94
82,"RAPPORT DE SÉCURITÉ\nPériode: Février 2026\nIncidents de sécurité: 3\n- 1 tentative intrusion réseau\n- 2 accès non autorisés\nMesures prises:\n- Renforcement pare-feu\n- Formation utilisateurs\n- Audit mensuel\nRecommandations: MFA obligatoire pour tous les comptes","RAPPORT","rapport sécurité,période,incidents,attempt intrusion,réseau,accès non autorisés,mesures,pare-feu,formation utilisateurs,audit,recommandations,mfa",0.96
83,"LETTRE DE FÉLICITATIONS\nÀ l'attention de Monsieur Dupont\nSociété: Directoire Général\nObjet: Reconnaissance performance exceptionnelle\nMonsieur,\nNous tenons à vous féliciter pour vos résultats exceptionnels du dernier trimestre.\nVotre chiffre d'affaires a dépassé l'objectif de 25%.\nEn reconnaissance, vous recevrez une prime exceptionnelle de 2000€.\nContinuez ainsi !\nCordialement,\nDirection générale","CV_LETTRE","lettre félicitations,directoire général,société,objet,reconnaissance,performance exceptionnelle,chiffre affaires,objectif,prime exceptionnelle,continuez,cordialement",0.95
84,"COMMUNICATION DIPLOME\nTitre: 'Intelligence artificielle et éthique'\nAuteur: Dr. Marie Laurent\nConférence: Forum Éthique Technologique\nDate: 15 mars 2026\nLieu: UNESCO, Paris\nPublic: Professionnels, décideurs, chercheurs\nDurée: 45 minutes\nSupport: Présentation PowerPoint disponible\nRésumé: Analyse des enjeux éthiques liés au déploiement de l'IA...","ACADEMIQUE","communication diplôme,titre,auteur,conférence,date,lieu,unesco,public,professionnels,décideurs,chercheurs,durée,support,résumé,éthique,ia",0.93
85,"JUGEMENT CORRECTIONNEL\nAffaire: CR-2026-023\nParties:\n- Prévenu: M. Antoine Martin\n- Victime: État\nInfraction: Fraude fiscale\nPeine: 6 mois avec sursis, amende 10 000€\nDate: 06 mars 2026\nMotivation: Dissimulation de revenus sur 3 ans\nFait par le Juge correctionnel","JURIDIQUE","jugement correctionnel,affaire,parties,prévenu,victime,infraction,fraude fiscale,peine,mois avec sursis,amende,date,motivation,dissimulation,revenus,juge correctionnel",0.97
86,"DIAGRAMME D'ÉTATS\nSystème: Machine à café intelligente\nÉtats:\n- État initial: Machine éteinte\n- État actif: Machine allumée\n- État prêt: Prête à servir\n- État en cours: Préparation boisson\nTransitions:\n- Bouton marche/arrêt\n- Sélection boisson\n- Pénurie eau\n- Pénurie café","DIAGRAMME","diagramme états,système,machine café intelligente,états,initial,actif,prêt,en cours,transitions,bouton,sélection boisson,pénurie eau,café",0.91
87,"FACTURE N°2026-010\nDate: 07/03/2026\nClient: SAS Restaurant Étoilé\nSIRET: 23456789012345\nMontant HT: 5600,00€\nTVA 10%: 560,00€\nMontant TTC: 6160,00€\nNet à payer: 6160,00€\nIBAN: FR90XXXXXXXXXXXXXXX\nBIC: HHHHHHHH\nDate d'échéance: 21/03/2026","FACTURE","facture,date,client,siret,montant ht,tva 10%,montant ttc,net à payer,iban,bic,date d'échéance",0.96
88,"TICKET DE CAISSE\nMagasin: Sephora Champs-Élysées\nDate: 08/03/2026 13:15\nArticles:\n- Crème hydratante: 45,00€\n- Parfum: 78,50€\n- Vernis à ongles: 12,90€\nTotal TTC: 136,40€\nMoyen de paiement: Carte bancaire\nMerci de votre visite beauté !","RECU","ticket de caisse,magasin,date,crème hydratante,parfum,vernis ongles,total ttc,carte bancaire,merci,visite beauté",0.94
89,"CONTRAT D'APPRENTISSAGE\nEntre:\n- Maître d'apprentissage: SARL Boulangerie Artisanale\n- Apprenti: M. Thomas Dubois\nDurée: 2 ans (01/09/2026-31/08/2028)\nFormation: CAP Boulanger\nRémunération: 850€/mois première année\nObligations: Présence centre formation 1 semaine/mois\nFait à Paris le 05 mars 2026","CONTRAT","contrat apprentissage,maître apprentissage,apprenti,durée,formation,cap boulanger,rémunération,obligations,présence,centre formation,fait à",0.98
90,"BON DE COMMANDE N°BC-2026-054\nDate: 09/03/2026\nRéférence client: CLT-678\nAdresse de livraison:\n15 rue de la République, 69002 Lyon\nMode d'expédition: Livraison standard\nArticles commandés:\n- 3x Lampes de bureau LED\n- 2x Tapis de souris ergonomiques\n- 1x Support écran réglable\nNombre de colis: 2","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles bureau,lampes led,tapis souris,support écran,colis",0.93
91,"CERTIFICAT DE RÉSIDENCE\nDélivré par la Préfecture de Lyon\nDate: 10/03/2026\nNom: Martin Sophie\nPrénom: Claire\nNationalité: Française\nAdresse: 25 rue Victor Hugo, 69002 Lyon\nDepuis: 01/06/2023\nValidité: 1 an\nCachet et signature du préfet","ADMINISTRATIF","certificat résidence,préfecture lyon,date,nom,prénom,nationalité,adresse,depuis,validité,cachet,signature,préfet",0.92
92,"RAPPORT DE QUALITÉ\nPériode: Janvier-Février 2026\nIndice satisfaction client: 4,2/5\nRéclamations traitées: 45 sur 50\nDélai moyen traitement: 24h\nAméliorations apportées:\n- Nouveau système de suivi\n- Formation service client\nObjectif mars: 4,5/5","RAPPORT","rapport qualité,période,indice satisfaction client,réclamations traitées,délai moyen,améliorations,système suivi,formation service client,objectif",0.95
93,"LETTRE DE LICENCIEMENT POUR FAUTE\nÀ l'attention de Monsieur Jean Bernard\nSociété: SARL Sécurité Plus\nObjet: Licenciement pour faute grave\nMonsieur,\nAprès enquête, votre comportement du 15 février 2026 constitue une faute grave.\nNous vous notifions votre licenciement sans préavis.\nDernier jour travaillé: 10 mars 2026\nIndemnités: Aucune en cas de faute grave\nFait à Lyon le 08 mars 2026","CV_LETTRE","lettre licenciement faute,attention,société,objet,licenciement,faute grave,enquête,comportement,préavis,dernier jour travaillé,indemnités,aucune,fait à",0.97
94,"THÈSE DE DOCTORAT EN SCIENCES\nTitre: 'Physique des particules élémentaires'\nAuteur: Dr. Pierre Laurent\nLaboratoire: CERN\nDirecteur de thèse: Prof. Marie Dubois\nDate de soutenance: 05 mars 2026\nJury: 7 membres dont 3 étrangers\nRésumé: Découverte expérimentale de nouvelles particules...","ACADEMIQUE","thèse doctorat sciences,titre,auteur,laboratoire,cern,directeur thèse,date soutenance,jury,membres,étrangers,résumé,découverte expérimentale,particules",0.99
95,"ORDONNANCE DE RÉFÉRÉ\nAffaire: RG 2026-089\nParties:\n- Demandeur: SARL Tech Startup\n- Défendeur: Ancien employé\nObjet: Mesures conservatoires\nDécision: Interdit au défendeur d'utiliser les secrets commerciaux\nDate: 11 mars 2026\nUrgence: Risque imminent de concurrence déloyale\nSigné par le Juge des Référés","JURIDIQUE","ordonnance référé,affaire,parties,demandeur,défendeur,objet,mesures conservatoires,décision,interdit,secrets commerciaux,date,urgence,risk concurrence déloyale,juge référés",0.94
96,"DIAGRAMME DE CLASSES UML\nApplication: Gestion bibliothèque\nClasses:\n- Livre\n  + attributs: titre, auteur, isbn\n  + méthodes: emprunter(), retourner()\n- Adhérent\n  + attributs: nom, prénom, numéro\n  + méthodes: inscrire(), résilier()\n- Emprunt\n  + attributs: date, durée\nRelations:\n- Association multiplicité","DIAGRAMME","diagramme classes uml,application,gestion bibliothèque,classes,livre,attributs,titre,auteur,isbn,méthodes,adhérent,emprunt,relations,association,multiplicité",0.96
97,"FACTURE N°2026-011\nDate: 12/03/2026\nClient: SARL Hôtel de Ville\nSIRET: 34567890123456\nMontant HT: 2450,00€\nTVA 10%: 245,00€\nMontant TTC: 2695,00€\nNet à payer: 2695,00€\nIBAN: FR91XXXXXXXXXXXXXXX\nBIC: IIIIIIII\nDate d'échéance: 26/03/2026","FACTURE","facture,date,client,siret,montant ht,tva 10%,montant ttc,net à payer,iban,bic,date d'échéance",0.95
98,"TICKET DE CAISSE\nMagasin: IKEA Vélizy\nDate: 13/03/2026 11:20\nArticles:\n- Table basse: 79,90€\n- 2x Coussins décoratifs: 19,90€\n- Lampe de bureau: 29,90€\nTotal TTC: 129,70€\nMoyen de paiement: Carte bancaire\nMerci de visiter IKEA !","RECU","ticket de caisse,magasin,date,table basse,coussins décoratifs,lampe bureau,total ttc,carte bancaire,merci,ikea",0.91
99,"CONTRAT DE PRÊT\nEntre:\n- Prêteur: Banque Populaire\n- Emprunteur: M. Jean Dupuis\nMontant: 120 000€\nDurée: 15 ans\nTaux: 2,5% fixe\nGaranties: Hypothèque sur l'appartement\nRemboursement: Mensualités de 800,50€\nDate effet: 01 avril 2026\nFait à Paris le 14 mars 2026","CONTRAT","contrat prêt,prêteur,banque populaire,emprunteur,montant,durée,taux,garanties,hypothèque,remboursement,mensualités,date effet,fait à",0.97
100,"BON DE COMMANDE N°BC-2026-055\nDate: 15/03/2026\nRéférence client: CLT-789\nAdresse de livraison:\n40 boulevard Haussmann, 75009 Paris\nMode d'expédition: Livraison premium\nArticles commandés:\n- 1x Canapé 3 places\n- 1x Table à manger\n- 4x Chaises design\nNombre de colis: 3","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles mobilier,canapé,table manger,chaises design,colis",0.94
101,"ATTESTATION D'EMPLOI\nDélivrée par la Société Informatique SA\nDate: 16/03/2026\nSalarié: Mme Sophie Martin\nPoste: Chef de projet IT\nDate d'embauche: 15/06/2023\nSalaire annuel: 48 000€\nStatut: CDI\nCachet et signature du directeur","ADMINISTRATIF","attestation emploi,société,date,salarié,poste,chef projet it,date embauche,salaire annuel,statut,cdi,cachet,signature,directeur",0.93
102,"RAPPORT DE PROGRÈS\nProjet: Développement application mobile\nClient: Banque en ligne\nPhase: 2/4\nAvancement: 50%\nBudget utilisé: 25 000€ / 50 000€\nRisques: Délai serré pour intégration paiement\nProchain jalons: Tests utilisateurs fin mars\nÉquipe: 4 développeurs, 1 chef de projet","RAPPORT","rapport progrès,projet,développement,application mobile,client,phase,avancement,budget,risques,délai,intégration paiement,jalons,tests utilisateurs,équipe",0.95
103,"LETTRE DE MISSION\nÀ l'attention de Monsieur le Consultant\nSociété: Conseil Stratégique\nObjet: Mission d'audit organisationnel\nDurée: 3 semaines (20 mars-7 avril 2026)\nLieu: Siège social Paris\nObjectifs:\n- Analyser structure organisationnelle\n- Identifier points bloquants\n- Proposer améliorations\nRémunération: 4500€ HT\nFait à Paris le 17 mars 2026","CV_LETTRE","lettre mission,attention,consultant,société,objet,mission audit,organisationnel,durée,lieu,siège social,objectifs,structure organisationnelle,points bloquants,améliorations,rémunération,fait à",0.96
104,"ARTICLE DE REVUE\nTitre: 'Nouvelles perspectives en robotique'\nAuteur: Dr. Antoine Bernard\nRevue: Sciences et Avenir\nNuméro: 890, Mars 2026\nPages: 45-52\nRésumé: Présentation des avancées récentes en robotique collaborative...\nMots-clés: robotique, intelligence artificielle, automation","ACADEMIQUE","article revue,titre,auteur,revue,sciences avenir,numéro,pages,résumé,avancées,robotique collaborative,mots-clés,intelligence artificielle,automation",0.94
105,"JUGEMENT CIVIL\nAffaire: TGI-2026-056\nParties:\n- Demanderesse: Mme Claire Dubois\n- Défendeur: SARL Assurance\nObjet: Indemnisation dommages\nDécision: Condamne le défendeur à payer 25 000€\nDate: 18 mars 2026\nMotivation: Non-respect des clauses contractuelles\nFait par le Juge des Référés","JURIDIQUE","jugement civil,affaire,parties,demanderesse,défendeur,objet,indemnisation,dommages,décision,condamne,payer,date,motivation,non-respect,clauses contractuelles,juge référés",0.95
106,"DIAGRAMME USE CASE\nSystème: Plateforme e-commerce\nActeurs:\n- Client\n- Administrateur\n- Paiement sécurisé\nUse cases:\n- Passer commande\n- Gérer catalogue\n- Traiter paiement\n- Générer rapport\nRelations: Includes, extends","DIAGRAMME","diagramme use case,système,plateforme e-commerce,acteurs,client,administrateur,paiement sécurisé,use cases,passer commande,gérer catalogue,traiter paiement,générer rapport,relations,includes,extends",0.93
107,"FACTURE N°2026-012\nDate: 19/03/2026\nClient: SARL Agence Web\nSIRET: 45678901234567\nMontant HT: 1850,00€\nTVA 20%: 370,00€\nMontant TTC: 2220,00€\nNet à payer: 2220,00€\nIBAN: FR92XXXXXXXXXXXXXXX\nBIC: JJJJJJJJ\nDate d'échéance: 02/04/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.96
108,"TICKET DE CAISSE\nMagasin: Monoprix République\nDate: 20/03/2026 17:40\nArticles:\n- Pizza surgelée: 3,20€\n- Glace vanille: 4,50€\n- Yaourts: 2,80€\n- Pâtisserie: 5,90€\nTotal TTC: 16,40€\nMoyen de paiement: Espèces\nMerci de votre visite !","RECU","ticket de caisse,magasin,date,pizza surgelée,glace vanille,yaourts,pâtisserie,total ttc,espèces,merci",0.92
109,"CONTRAT DE VENTE EN LIGNE\nEntre:\n- Vendeur: E-commerce Pro SAS\n- Acheteur: M. Pierre Martin\nProduit: Smartphone dernière génération\nPrix: 899,00€ TTC\nMode de livraison: Colissimo suivi\nDélai: 3 jours ouvrés\nDroit de rétractation: 14 jours\nDate: 21 mars 2026","CONTRAT","contrat vente ligne,vendeur,acheteur,produit,smartphone,prix,tva,livraison,colissimo suivi,délai,droit rétractation,date",0.95
110,"BON DE COMMANDE N°BC-2026-056\nDate: 22/03/2026\nRéférence client: CLT-890\nAdresse de livraison:\n25 rue de la Paix, 75002 Paris\nMode d'expédition: Livraison express\nArticles commandés:\n- 1x Ordinateur portable gaming\n- 1x Souris gamer\n- 1x Casque audio RGB\nNombre de colis: 1","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles informatique,ordinateur portable gaming,souris gamer,casque audio rgb,colis",0.93
111,"CERTIFICAT MÉDICAL D'APTITUDE\nDélivré par le Dr. Laurent Bernard\nDate: 23/03/2026\nPatient: M. Antoine Dubois\nActivité: Travail en hauteur\nAvis: Aptitude totale\nRestrictions: Aucune\nValidité: 1 an\nCachet et signature du médecin","MEDICAL","certificat médical aptitude,médecin,date,patient,activité,travail hauteur,avis,aptitude totale,restrictions,aucune,validité,cachet,signature",0.97
112,"RAPPORT D'AUDIT\nAuditeur: Cabinet ExpertCompta\nClient: SARL Restaurant Gourmet\nPériode: Janvier-Février 2026\nConstatations:\n- Conformité fiscale: satisfaisante\n- Gestion des stocks: points d'amélioration\n- Paies: correctes\nRecommandations:\n- Digitalisation des bons de commande\n- Formation comptable\nDate rapport: 24 mars 2026","RAPPORT","rapport audit,auditeur,cabinet expertcompta,client,période,constatations,conformité fiscale,gestion stocks,paies,recommandations,digitalisation,bons commande,formation comptable,date rapport",0.96
113,"LETTRE DE DÉMISSION VOLONTAIRE\nÀ l'attention de Madame la Directrice\nSociété: Marketing Solutions\nObjet: Ma démission\nMadame,\nJe souhaite vous informer de ma décision de quitter l'entreprise pour un nouveau défi professionnel.\nDate de départ: 15 avril 2026 (respect préavis 1 mois)\nJe reste à disposition pour assurer la transition.\nJe vous remercie pour les opportunités offertes.\nCordialement,\nThomas Laurent","CV_LETTRE","lettre démission volontaire,directrice,société,objet,décision,quitter entreprise,nouveau défi,date départ,préavis,transition,opportunités,cordialement",0.94
114,"THÈSE DE MASTER EN ÉCONOMIE\nTitre: 'Impact du Brexit sur le commerce européen'\nAuteur: Mme Élise Martin\nUniversité: Sciences Po Paris\nMention: Très Bien\nDate de soutenance: 18 mars 2026\nEncadrant: Prof. Jean Dupont\nRésumé: Analyse quantitative des flux commerciaux post-Brexit...","ACADEMIQUE","thèse master économie,titre,auteur,université,sciences po,mention,très bien,date soutenance,encadrant,résumé,analyse quantitative,flux commerciaux,brexit",0.95
115,"ACTE D'HYPOTHÈQUE\nRéférence: HYP-2026-034\nParties:\n- Créditeur: Banque de France\n- Débiteur: M. Jean Martin\nObjet: Prêt immobilier\nMontant: 250 000€\nBien hypothéqué: Appartement 75m², 15 rue des Fleurs, Paris\nDurée: 20 ans\nDate: 25 mars 2026\nNotaire: Maître Sophie Bernard","JURIDIQUE","acte hypothèque,référence,parties,créditeur,débiteur,objet,prêt immobilier,montant,bien hypothéqué,appartement,durée,date,notaire",0.96
116,"DIAGRAMME DE FLUX\nProcessus: Traitement commande\nÉtapes:\n1. Réception commande\n2. Vérification paiement\n3. Préparation colis\n4. Expédition\n5. Confirmation livraison\nDécisions:\n- Paiement validé ?\n- Stock disponible ?\n- Adresse correcte ?\nDurée moyenne: 24h","DIAGRAMME","diagramme flux,processus,traitement commande,étapes,réception,vérification paiement,préparation colis,expédition,confirmation livraison,décisions,paiement validé,stock disponible,adresse correcte,durée moyenne",0.92
117,"FACTURE N°2026-013\nDate: 26/03/2026\nClient: SARL Conseil Juridique\nSIRET: 56789012345678\nMontant HT: 4200,00€\nTVA 20%: 840,00€\nMontant TTC: 5040,00€\nNet à payer: 5040,00€\nIBAN: FR93XXXXXXXXXXXXXXX\nBIC: KKKKKKKK\nDate d'échéance: 09/04/2026","FACTURE","facture,date,client,siret,montant ht,tva 20%,montant ttc,net à payer,iban,bic,date d'échéance",0.97
118,"TICKET DE CAISSE\nMagasin: Carrefour Market Sébastopol\nDate: 27/03/2026 09:15\nArticles:\n- Lait 1L: 0,95€\n- Oeufs 12: 2,80€\n- Beurre: 2,50€\n- Pain complet: 1,80€\nTotal TTC: 8,05€\nMoyen de paiement: Carte bancaire\nMerci et à bientôt !","RECU","ticket de caisse,magasin,date,lait,oeufs,beurre,pain complet,total ttc,carte bancaire,merci",0.91
119,"CONTRAT DE LICENCE\nEntre:\n- Licensor: Software Solutions SA\n- Licensee: SARL Tech Startup\nObjet: Licence logiciel CRM\nPrix: 15 000€ HT/an\nDurée: 3 ans renouvelable\nSupport: 24/7 inclus\nRestrictions: Usage interne uniquement\nDate: 28 mars 2026\nFait à Paris","CONTRAT","contrat licence,licensor,licensee,objet,licence logiciel,crm,prix,durée,support,restrictions,usage interne,date,fait à",0.98
120,"BON DE COMMANDE N°BC-2026-057\nDate: 29/03/2026\nRéférence client: CLT-901\nAdresse de livraison:\n35 avenue des Champs-Élysées, 75008 Paris\nMode d'expédition: Livraison standard\nArticles commandés:\n- 2x Imprimantes multifonctions\n- 1x Scanner professionnel\n- 1x Destructeur de documents\nNombre de colis: 2","BON_COMMANDE","bon de commande,date,référence client,adresse de livraison,mode d'expédition,articles bureau,imprimantes multifonctions,scanner professionnel,destructeur documents,colis",0.94
121,"ATTESTATION DE VIE\nDélivrée par la Mairie de Bordeaux\nDate: 30/03/2026\nNom: Dubois\nPrénoms: Marie Élise\nDate de naissance: 15/05/1945\nLieu de naissance: Bordeaux\nDéclaration: Je soussigné certifie être en vie ce jour\nCachet de la mairie et signature","ADMINISTRATIF","attestation vie,mairie bordeaux,date,nom,prénoms,date naissance,lieu naissance,déclaration,certifie être en vie,cachet,signature",0.92
122,"RAPPORT DE PERFORMANCE\nPériode: Q1 2026\nObjectifs atteints: 85%\nChiffre d'affaires: 1 250 000€ (+12% vs N-1)\nMarge nette: 18%\nNombre de clients: 345 (+15%)\nSatisfaction client: 4,5/5\nPoints forts: Croissance marché américain\nPoints faibles: Retards livraisons Europe","RAPPORT","rapport performance,période,q1 2026,objectifs atteints,chiffre affaires,croissance,marge nette,nombre clients,satisfaction client,points forts,croissance marché américain,points faibles,retards livraisons europe",0.97
123,"LETTRE DE CONVOCATION EN ENTRETIEN\nÀ l'attention de Madame Sophie Martin\nSociété: Recrutement Pro\nObjet: Convocation entretien emploi\nMadame,\nSuite à votre candidature pour le poste de Chef de Produit, nous vous convions à un entretien.\nDate: 05 avril 2026\nHeure: 14h00\nLieu: 10 rue de la Bourse, 75002 Paris\nContact: marc.dubois@recrutementpro.fr\nCordialement,\nService recrutement","CV_LETTRE","lettre convocation entretien,attention,société,objet,convocation,poste,chef produit,candidature,date,heure,lieu,contact,cordialement,service recrutement",0.93
124,"MÉMOIRE DE DEA\nTitre: 'Linguistique computationnelle'\nAuteur: Dr. Antoine Bernard\nUniversité: Paris Diderot\nDirecteur: Prof. Claire Martin\nDate: Mars 2026\nPages: 120\nRésumé: Développement d'algorithmes de traitement du langage naturel...","ACADEMIQUE","mémoire dea,titre,auteur,université,directeur,date,pages,résumé,linguistique computationnelle,algorithmes,traitement langage naturel",0.94
